country,genre,song name,artist,rating
argentina,indie rock,bichos,homogenica,7
argentina,indie rock,turista,homogenica,8
argentina,indie rock,animales,homogenica,8
argentina,indie rock,ratas,homogenica,8.5
argentina,indie rock,somniferos,no te me enojes,7.5
armenia,rock,the noise is a scream,clocker,6
aruba,indie rock,stomp,the revoir,8.5
austria,experimental rock,acting moderate,killed by 9v batteries,9
bangladesh,alternative,sheishob din raatri,karnival,8.5
belarus,alt rock,Дажджамі,Бяз Назвы ,7.5
belgium,shoegaze,glow,slow crush,8
bolivia,rock,histeria,llegas,7
botswana,noise rock,shooters,internet key,9
botswana,noise rock,bathroom wall,internet key,8
botswana,noise rock,i could cut out my veins,internet key,8.8
brazil,punk,empina o fuzil // power trip,isotopxs,8
brazil,indie/garage rock,fotos de uma arvore que nao parace bem,micondria,8
brazil,indie rock,i luv u franklyn,glover.,7
brazil,experimental rock,playboy,pusher174,7
brazil,shoegaze,de areia e sal,sonhos tomam conta,6
brazil,indie rock,teus cachos enrolados nos m...,quem e voce alice,7
brazil,shoegaze,hear a whisper,"terraplana, winter",8
brazil,indie rock,germaboys | a crise do prensado,quem e voce alice,8
brunei,indie rock,i don't want to go home,guerilla orchestra,7
bulgaria,alt rock,do mene e mayka ti,TDK,7.5
cambodia,folk rock,black hair,kampot playboys,7
canada,alt rock,le metronome,malajube,10
canada,indie rock,glu (coule sur moi),zen bamboo,9.7
canada,experimental rock,bulbe,violett pi,7
canada,alt rock,montreal -40,malajube,9.5
canada,alt rock,ah ouin,chocolat,7
canada,alt rock,pate filo,malajube,8
canada,experimental rock,fleur de londres,violett pi,7
canada,alt rock,la monogamie,malajube,8
canada,indie rock,annie (pourquoi t'es partie?),babylones,8
cape verde,indie rock,sinti alive,krad,6.9
chile,math rock,resonancias,herbario,7
chile,rock,el viaje,coni lewin,7.5
china,alternative,光,arches,7
china,shoegaze,i just want 2 hear your voice...,strawberry lust,7
colombia,emo,become,the hall effect,7
croatia,psychedelic rock,meke ruke,cuvarkuca,7
czech republic,experimental rock,sign n spell,here,7
cuba,shoegaze,no te veo,land whales,8.7
denmark,alt rock,fencesitters,inventory,7
ecuador,alt rock,sindrome de uppsala,biorn borg,8
egypt,alt rock,segn bel alwan,"ramy essam, malikah",8
el salvador,indie rock,color,inflorescencia,6.7
faroe islands,alt rock,indigo brow,clickhaze,10
finland,symphonic metal,amaranth,nightwish,7
france,indie rock,lasso,phoenix,7
france,rock,reggie lewis,sport,6
france,indie rock,armistice,phoenix,8
france,electronic,safety crash,tapeworms,8
france,indie rock,je te vois encore,foggy bottoms,7.5
germany,alternative,pausenlied,125 rue montmartre,9
germany,indie rock,nacht,betterov,7
germany,alternative,disco hijack,125 rue montmartre,8.5
germany,indie rock,angst,betterov,7.5
germany,alternative,revolter,125 rue montmartre,8
germany,alternative,gegenstück,monochrome,8.8
germany,alternative,hands and arrows,sometree,8.5
ghana,rock,try,dark suburb,5
greece,pop rock (?) ,the big deal,tripwire,7
greenland,folk rock,inuinnaagavit,nanook,7
guam,noise rock,laneswitchin',83books,7
hungary,alt rock,ha az eletben,kispal es a borz,7.6
hungary,indie rock,daddy said no,carson coma,7.5
iceland,alt rock,fardu i roo,botnledja,7.5
india,indie rock,wknd frnds,the f16s,7
india,alt rock,the bridge between us,pacifist,6.5
indonesia,indie rock,checks and calls,liar's wife,8
indonesia,indie rock,confused,sunwich,7
iran,alt rock,saghi,o-hum,7.5
ireland,alt rock,boys in the better land,fontaines d.c,8
italy,alt rock,come dovrei oppormi,bymyside,10
jamaica,alternative,vex,"dxrkknght, indie anthony",7.5
japan,midwest emo / alt rock,phony,by the end of the summer,9
japan,indie rock,glass marbles,susquatch,9
japan,indie rock,pretty old man,no buses,9
japan,indie rock,untouchable you,no buses,9
japan,indie rock,シュレディンガーの猫,brian the sun,9
japan,indie rock,心の実,indigo la end,9.5
japan,indie rock,girl,no buses,9.5
japan,indie rock,with or without it,no buses,9.5
japan,shoegaze,night is young,yuragi,9
japan,alt rock,てふてふ,plastic tree,9
japan,indie rock,hyperventilation,radwimps,8.5
jordan,indie rock,khatem,akher zapheer,7
kazakhstan,indie rock,sadness,secret radio,6.5
kazakhstan,indie rock,kokke,far in gate,6.7
kenya,indie rock,leopold,crystal axis,6
kenya,experimental ,go with gut,kabeaushé,7
kenya,rock,nitachange,"rash band, ruff",5
kyrgyzstan,pop rock (?) ,Город-точка,gorod 312,7
latvia,experimental rock,pulkstens,mazi smirdigie kocini,7
latvia,alt rock,fabrikas meitenes dziesma,zidruns,5
latvia,dream pop,i want you,tribes of the city,7
lebanon,dream pop,dead end,postcards,6
luxembourg,alt rock,6th of august,holy national victims,6.5
malaysia,alt rock,bintang,statik,8.9
malaysia,alt rock,gelap,statik,8.5
malaysia,alt rock,dia,statik,7
malta,prog rock,bloodstream waterfall cannonball,eyes to argus,7
mexico,indie rock,quizas no llames despues,"gusstav, joan page",7.5
mexico,alt rock,ya no hay verano,depresion sonora,6.5
mexico,alt rock,miente,bengala,6.5
mexico,alt rock,eres,cafe tacvba,9
moldova,metal,la ciocana,gandul matei,7
moldova,rock,cocori,alternosfera,7.5
mongolia,rock,tuurugdul,orshihui,7
morocco,punk,aisha qandisha,taqbir,7
morocco,punk,sma3,taqbir,8
myanmar,rock,chan khae,idiots,9.5
myanmar,rock,a date pal,idiots,8
myanmar,rock,htet ma pay nae tot,idiots,8.7
namibia,garage rock,over this,penilane,7
netherlands,rock,summerdaze,daryll-ann,7.8
netherlands,indie rock,misery galore,bettie serveert,9
netherlands,indie rock,fallen foster,bettie serveert,9.5
netherlands,indie rock,rudder,bettie serveert,9
netherlands,indie rock,geek,bettie serveert,8.6
macedonia,alt rock,peski nakaj doma,Дивоградба (divogradka),9
nigeria,rock,amin,clayrocksu,6.7
nigeria,rock,oge,clayrocksu,7
norway,indie rock,pie in the sky,drape,7.5
pakistan,shoegaze,children,//orangenoise,8.8
paraguay,shoegaze,erratico,rosefield,7
peru,alt rock,temor (olivo),claustrofobicos,7
peru,math rock,satisfuckcion,procrastinacion 1 yo 0,7
peru,math rock,dos,procrastinacion 1 yo 0,7
philippines,indie rock,the chase,as silent as the forest,8.3
poland,alt rock,to nie byw film,myslovitz,7.5
portugal,indie rock,o vento,los hermanos,8
portugal,dark wave rock,pale,aenima,8
russia,alt rock,untitled,franco,8.3
russia,math rock,Погребок ,franco,8.3
saudi arabia,experimental rock,يش سويت,ana.n7n,6
saudi arabia,indie rock,this is not me,the accolade,7
serbia,indie rock,svet se menja,proto tip,6
slovakia,indie rock,smazka,pipesh,7.7
slovenia,indie rock,umazane misli,joker out,7.5
slovenia,indie rock,omni,before time,7
spain,alt rock,truce,belako,8.9
spain,alt rock,saguzarren kanta,belako,8.9
singapore,indie rock,jazz ruined my life,forests,9.5
singapore,indie rock,fool of hell,forests,8
singapore,indie rock,come clean,blush,8.5
singapore,midwest emo  ,fruitcake ,subsonic eye,9
singapore,alternative,best friend,blush,8.8
singapore,midwest emo,stranded,subsonic eye,8.6
singapore,midwest emo,cabin fever,subsonic eye,8.8
south africa,pop rock (?) ,cokehead,internet girl,9.5
south korea,indie rock,there there,crystal tea,8.5
south korea,shoegaze,beautiful world,parannoul,9.8
sri lanka,funk,sticky like glue,the soul,8
sweden,alt rock,om du var har,kent,10
sweden,alt rock,waterproof,minute,8.5
sweden,alt rock,i wanna be your secret,minute,8.5
sweden,noise rock,tärd,trachimbod,10
sweden,alt rock,things she said,kent,10
sweden,alt rock,if you were here,kent,10
sweden,alternative,owc,kent,9.6
switzerland,alt rock,new in colors,favez,9
switzerland,alt rock,headed for the ocean,favez,8.8
switzerland,alt rock,chasing honesty,favez,7
taiwan,alt rock,爛泥,no party for cao dong,8.5
thailand,pop/indie rock(?),get up,kiki,7
thailand,indie rock,let me go,yonlapa,8
thailand,indie rock,i'm just like that,yonlapa,7.8
tunisia,shoegaze,sleep cycle,retrieval,7
tunisia,shoegaze,away,retrieval,7
turkey,alt rock,bir kadın Çizeceksin,maNga,10
turkey,alt rock,kapkaç,maNga,8.8
turkey,alt rock,dünyanın sonuna doğmuşum,maNga,7.7
turkey,alt rock,cambaz,mor ve ötesi,8.7
ukraine,indie rock,Я кусаю щоки,the unsleeping,8
ukraine,indie rock,Не Сплю,the unsleeping,7.8
usa,folk rock,soft stud,black belt eagle scout,7.5
uruguay,rock,upside down,astroboy,7.5
uzbekistan,indie rock,Нам не нужны друзья,wladek sheen,7
venezuela,sifri rock,retroceder,los mesoneros,6.5
vietnam,indie rock,hay la,"tora drums, hoanghieu, drumc",8.5
vietnam,indie rock,nho em,do it dad,9
zimbabwe,rock,place called home,evicted,7
